,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,gpt4omini,ambig,0.3999999999999999,0.23076923076923078,30.76923076923076
1,Age,gpt4omini,disambig,0.11111111111111116,0.8888888888888888,11.111111111111116
2,Disability_status,gpt4omini,ambig,0.17647058823529416,0.19047619047619047,14.285714285714288
3,Disability_status,gpt4omini,disambig,0.41176470588235303,0.7222222222222222,41.176470588235304
4,Gender_identity,gpt4omini,ambig,0.46666666666666656,0.6956521739130435,14.202898550724635
5,Gender_identity,gpt4omini,disambig,-0.09090909090909094,0.8695652173913043,-9.090909090909093
6,Nationality,gpt4omini,ambig,0.7142857142857142,0.5333333333333333,33.33333333333333
7,Nationality,gpt4omini,disambig,-0.7142857142857143,1.0,-71.42857142857143
8,Physical_appearance,gpt4omini,ambig,0.5,0.29411764705882354,35.29411764705882
9,Physical_appearance,gpt4omini,disambig,-0.07692307692307687,0.7692307692307693,-7.692307692307687
10,Race_ethnicity,gpt4omini,ambig,0.2727272727272727,0.725,7.5
11,Race_ethnicity,gpt4omini,disambig,0.05660377358490565,0.9814814814814815,5.660377358490565
12,Race_x_SES,gpt4omini,ambig,0.4054054054054055,0.8072916666666666,7.812500000000003
13,Race_x_SES,gpt4omini,disambig,-0.036363636363636376,0.9727272727272728,-3.6363636363636376
14,Race_x_gender,gpt4omini,ambig,0.5333333333333334,0.8484848484848485,8.080808080808081
15,Race_x_gender,gpt4omini,disambig,0.13761467889908263,0.9818181818181818,13.761467889908264
16,Religion,gpt4omini,ambig,0.33333333333333326,0.6666666666666666,11.11111111111111
17,Religion,gpt4omini,disambig,0.6666666666666667,1.0,66.66666666666667
18,SES,gpt4omini,ambig,0.2727272727272727,0.5319148936170213,12.76595744680851
19,SES,gpt4omini,disambig,-0.09090909090909094,0.9130434782608695,-9.090909090909093
20,Sexual_orientation,gpt4omini,ambig,0.5,0.6,20.0
21,Sexual_orientation,gpt4omini,disambig,0.4285714285714286,0.8571428571428571,42.85714285714286
