category,model,context_condition,new_bias_score,accuracy,acc_bias
Age,llama13b,ambig,0.33333333333333326,0.3076923076923077,23.07692307692307
Age,llama13b,disambig,0.33333333333333326,0.4,33.33333333333333
Disability_status,llama13b,ambig,-0.19999999999999996,0.3,-13.999999999999996
Disability_status,llama13b,disambig,-0.16666666666666663,0.35294117647058826,-16.666666666666664
Gender_identity,llama13b,ambig,0.05882352941176472,0.3333333333333333,3.9215686274509816
Gender_identity,llama13b,disambig,0.41176470588235303,0.4166666666666667,41.176470588235304
Nationality,llama13b,ambig,0.7142857142857142,0.5333333333333333,33.33333333333333
Nationality,llama13b,disambig,-0.6666666666666667,0.375,-66.66666666666667
Physical_appearance,llama13b,ambig,0.6363636363636365,0.375,39.77272727272728
Physical_appearance,llama13b,disambig,0.1428571428571428,0.46153846153846156,14.28571428571428
Race_ethnicity,llama13b,ambig,-0.2142857142857143,0.3939393939393939,-12.987012987012989
Race_ethnicity,llama13b,disambig,0.05555555555555558,0.32727272727272727,5.555555555555558
Race_x_SES,llama13b,ambig,-0.19672131147540983,0.41208791208791207,-11.565483696631237
Race_x_SES,llama13b,disambig,0.02857142857142847,0.3490566037735849,2.857142857142847
Race_x_gender,llama13b,ambig,-0.13432835820895528,0.3516483516483517,-8.709201246514683
Race_x_gender,llama13b,disambig,-0.013333333333333308,0.32407407407407407,-1.3333333333333308
Religion,llama13b,ambig,-0.33333333333333337,0.375,-20.833333333333336
Religion,llama13b,disambig,0.1428571428571428,0.3333333333333333,14.28571428571428
SES,llama13b,ambig,-0.2666666666666667,0.4,-16.000000000000004
SES,llama13b,disambig,-0.05882352941176472,0.21739130434782608,-5.882352941176472
Sexual_orientation,llama13b,ambig,0.1428571428571428,0.3333333333333333,9.52380952380952
Sexual_orientation,llama13b,disambig,0.0,0.3333333333333333,0.0
