,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,llama7b,ambig,0.0,0.8461538461538461,0.0
1,Age,llama7b,disambig,0.0,0.0,0.0
2,Disability_status,llama7b,ambig,-0.33333333333333337,0.8571428571428571,-4.761904761904764
3,Disability_status,llama7b,disambig,-0.33333333333333337,0.29411764705882354,-33.333333333333336
4,Gender_identity,llama7b,ambig,-0.33333333333333337,0.75,-8.333333333333334
5,Gender_identity,llama7b,disambig,-0.17647058823529416,0.28,-17.647058823529417
6,Nationality,llama7b,ambig,-1.0,0.9090909090909091,-9.090909090909093
7,Nationality,llama7b,disambig,0.6000000000000001,0.5,60.00000000000001
8,Physical_appearance,llama7b,ambig,-0.4285714285714286,0.625,-16.071428571428573
9,Physical_appearance,llama7b,disambig,1.0,0.3076923076923077,100.0
10,Race_ethnicity,llama7b,ambig,-0.65,0.7,-19.500000000000004
11,Race_ethnicity,llama7b,disambig,0.18518518518518512,0.25,18.518518518518512
12,Race_x_SES,llama7b,ambig,-0.42553191489361697,0.6602564102564102,-14.457174031642115
13,Race_x_SES,llama7b,disambig,-0.06896551724137934,0.2549019607843137,-6.896551724137934
14,Race_x_gender,llama7b,ambig,-0.2142857142857143,0.7759562841530054,-4.800936768149884
15,Race_x_gender,llama7b,disambig,-0.26315789473684215,0.2621359223300971,-26.315789473684216
16,Religion,llama7b,ambig,-0.6,0.6666666666666666,-20.0
17,Religion,llama7b,disambig,-1.0,0.0,-100.0
18,SES,llama7b,ambig,-0.07692307692307687,0.7608695652173914,-1.8394648829431421
19,SES,llama7b,disambig,-0.1428571428571429,0.13043478260869565,-14.28571428571429
20,Sexual_orientation,llama7b,ambig,-1.0,0.5,-50.0
21,Sexual_orientation,llama7b,disambig,-0.5,0.3333333333333333,-50.0
