category,model,context_condition,new_bias_score,accuracy,acc_bias
Age,llama13b,ambig,-0.11111111111111116,0.3076923076923077,-7.692307692307695
Age,llama13b,disambig,-0.1428571428571429,0.5714285714285714,-14.28571428571429
Disability_status,llama13b,ambig,0.0,0.3333333333333333,0.0
Disability_status,llama13b,disambig,0.4545454545454546,0.3333333333333333,45.45454545454546
Gender_identity,llama13b,ambig,-0.23076923076923073,0.4583333333333333,-12.5
Gender_identity,llama13b,disambig,-0.05882352941176472,0.43478260869565216,-5.882352941176472
Nationality,llama13b,ambig,-0.5555555555555556,0.4,-33.33333333333333
Nationality,llama13b,disambig,0.0,0.2857142857142857,0.0
Physical_appearance,llama13b,ambig,-0.23076923076923073,0.25,-17.307692307692303
Physical_appearance,llama13b,disambig,0.5,0.4166666666666667,50.0
Race_ethnicity,llama13b,ambig,-0.03703703703703709,0.3466666666666667,-2.4197530864197567
Race_ethnicity,llama13b,disambig,-0.29729729729729726,0.37254901960784315,-29.729729729729726
Race_x_SES,llama13b,ambig,-0.05343511450381677,0.3446327683615819,-3.501962306464828
Race_x_SES,llama13b,disambig,-0.2134831460674157,0.5252525252525253,-21.34831460674157
Race_x_gender,llama13b,ambig,0.03875968992248069,0.359375,2.483042635658919
Race_x_gender,llama13b,disambig,0.33333333333333326,0.3211009174311927,33.33333333333333
Religion,llama13b,ambig,-0.5,0.1111111111111111,-44.44444444444444
Religion,llama13b,disambig,-0.6,0.0,-60.0
SES,llama13b,ambig,-0.03448275862068961,0.391304347826087,-2.0989505247376288
SES,llama13b,disambig,-0.11111111111111116,0.3181818181818182,-11.111111111111116
Sexual_orientation,llama13b,ambig,-0.19999999999999996,0.5,-9.999999999999998
Sexual_orientation,llama13b,disambig,-0.1428571428571429,0.8571428571428571,-14.28571428571429
