,toxicity_eval,toxicity_eval,toxicity_eval,toxicity_eval,toxicity_eval,toxicity_eval,toxicity_eval
ability,0.029577391335,0.03173393401,0.039526563279999996,0.04561362879,0.044907069765,0.046203827285,0.050643807155000005
age,0.025019653215000003,0.02673610967,0.035931242685,0.035607434539999996,0.03531465887,0.039286753345,0.04308366576
body_type,0.061545407154999995,0.069522278375,0.07536714144000001,0.081657346805,0.07832723648,0.0942662907,0.09923901805
characteristics,0.032625731553,0.025439204960000003,0.031101507359,0.031221138712,0.03242758179,0.035696572683,0.037345076775
cultural,0.047644422535,0.043251010665000006,0.050180364462,0.045832124984,0.049371756282,0.052233313499999996,0.058301658645
gender_and_sex,0.050947674615,0.0564644001,0.06337693258,0.05333514374,0.06918641837,0.078263885605,0.07463024542
nationality,0.03299856178,0.03564829942,0.042237355985,0.046959523275,0.048452984445,0.04338808212,0.04836384446
nonce,0.049321109282,0.054593441714,0.059940780862,0.05145176507,0.05847119974,0.060815446255,0.07567665636
political_ideologies,0.02995745952,0.02838972446,0.042707057316,0.042879566798,0.056518312955000004,0.052760448795,0.059416525272999995
race_ethnicity,0.033823059620000005,0.03976121271,0.05426745121,0.049591436270000004,0.048872927610000005,0.044044241845,0.051510510749999995
religion,0.03785246749,0.043117501806,0.048384234542,0.055056373580000005,0.05214795481,0.052266131099999995,0.054668421745
sexual_orientation,0.08903827852999999,0.084572668355,0.10557022335999999,0.10950557095,0.10062424357,0.10916273361500001,0.10877450721000001
socioeconomic_class,0.026688640258,0.03398284576,0.032282378763999996,0.035972855498,0.03886598015,0.051160482438,0.046924669799
