,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,llama7b,ambig,-0.4,0.2727272727272727,-29.090909090909093
1,Age,llama7b,disambig,-0.25,0.5555555555555556,-25.0
0,Race_x_SES,llama7b,ambig,-0.2588235294117647,0.1956521739130435,-20.818414322250636
1,Race_x_SES,llama7b,disambig,-0.125,0.5157894736842106,-12.5
0,Physical_appearance,llama7b,ambig,-0.07692307692307687,0.25,-5.769230769230766
1,Physical_appearance,llama7b,disambig,-0.5555555555555556,0.25,-55.55555555555556
0,Race_ethnicity,llama7b,ambig,-0.5428571428571429,0.2608695652173913,-40.12422360248448
1,Race_ethnicity,llama7b,disambig,-0.1428571428571429,0.5348837209302325,-14.28571428571429
0,Race_x_gender,llama7b,ambig,-0.0738255033557047,0.28,-5.315436241610739
1,Race_x_gender,llama7b,disambig,-0.31034482758620685,0.4392523364485981,-31.034482758620683
0,Disability_status,llama7b,ambig,-0.1428571428571429,0.3333333333333333,-9.523809523809527
1,Disability_status,llama7b,disambig,-0.8333333333333334,0.23529411764705882,-83.33333333333334
0,Nationality,llama7b,ambig,-0.2857142857142857,0.1,-25.71428571428571
1,Nationality,llama7b,disambig,0.25,0.42857142857142855,25.0
0,Sexual_orientation,llama7b,ambig,-0.19999999999999996,0.0,-19.999999999999996
1,Sexual_orientation,llama7b,disambig,-0.33333333333333337,0.42857142857142855,-33.333333333333336
0,Gender_identity,llama7b,ambig,-0.1724137931034483,0.40425531914893614,-10.271460014673513
1,Gender_identity,llama7b,disambig,-0.33333333333333337,0.44,-33.333333333333336
