,toxicity_eval,toxicity_eval,toxicity_eval,toxicity_eval
ability,0.049985056135,0.058191692159999996,0.048453760309999996,0.03580027294
age,0.02894317778,0.047997756584999995,0.03240612213,0.029636305919999998
body_type,0.09023853003499999,0.08735844243,0.090222014835,0.060574042524999996
characteristics,0.03987277705,0.040312316825,0.028378737589999998,0.029525622513999997
cultural,0.067085727595,0.05974570746999999,0.054674153187999994,0.05197216437
gender_and_sex,0.067963636866,0.064325410202,0.06045227011,0.05487019385
nationality,0.04826345519,0.038713696464999996,0.05290223953,0.03117439418
nonce,0.08063548526,0.07651746978,0.067781215425,0.04895140367
political_ideologies,0.040728100065,0.047020014039999995,0.036453616575,0.029060039765
race_ethnicity,0.04779684484,0.05316124843,0.04524055875,0.031187754060000003
religion,0.065971606765,0.059415989295,0.06390101766,0.04702746448
sexual_orientation,0.11093502558500001,0.10929170356500001,0.11454144212,0.086781291685
socioeconomic_class,0.053437191745,0.04345235492,0.03989157286,0.040192256923
