,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,llama13b,ambig,0.11111111111111116,0.36363636363636365,7.070707070707074
1,Age,llama13b,disambig,0.33333333333333326,0.4,33.33333333333333
0,Religion,llama13b,ambig,-0.4285714285714286,0.25,-32.142857142857146
1,Religion,llama13b,disambig,-0.1428571428571429,0.5714285714285714,-14.28571428571429
0,Race_x_SES,llama13b,ambig,-0.13669064748201443,0.29743589743589743,-9.603394207710757
1,Race_x_SES,llama13b,disambig,0.11688311688311681,0.3577981651376147,11.688311688311682
0,Physical_appearance,llama13b,ambig,0.8333333333333333,0.29411764705882354,58.823529411764696
1,Physical_appearance,llama13b,disambig,0.2727272727272727,0.6153846153846154,27.27272727272727
0,Race_ethnicity,llama13b,ambig,0.040000000000000036,0.3950617283950617,2.4197530864197554
1,Race_ethnicity,llama13b,disambig,0.19999999999999996,0.44642857142857145,19.999999999999996
0,Disability_status,llama13b,ambig,0.2857142857142858,0.3333333333333333,19.047619047619055
1,Disability_status,llama13b,disambig,-0.16666666666666663,0.4117647058823529,-16.666666666666664
0,Nationality,llama13b,ambig,0.33333333333333326,0.4,19.999999999999996
1,Nationality,llama13b,disambig,0.0,0.625,0.0
0,Sexual_orientation,llama13b,ambig,0.25,0.2,20.0
1,Sexual_orientation,llama13b,disambig,0.0,0.42857142857142855,0.0
0,Gender_identity,llama13b,ambig,0.16129032258064524,0.3541666666666667,10.41666666666667
1,Gender_identity,llama13b,disambig,0.22222222222222232,0.48,22.222222222222232
