,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,gpt4o,ambig,1.0,0.8461538461538461,15.384615384615385
1,Age,gpt4o,disambig,0.33333333333333326,1.0,33.33333333333333
2,Disability_status,gpt4o,ambig,1.0,0.9523809523809523,4.761904761904767
3,Disability_status,gpt4o,disambig,-0.11111111111111116,1.0,-11.111111111111116
4,Gender_identity,gpt4o,ambig,1.0,0.9565217391304348,4.347826086956519
5,Gender_identity,gpt4o,disambig,-0.04347826086956519,1.0,-4.347826086956519
6,Nationality,gpt4o,disambig,-0.7142857142857143,1.0,-71.42857142857143
7,Physical_appearance,gpt4o,ambig,1.0,0.8823529411764706,11.764705882352944
8,Physical_appearance,gpt4o,disambig,0.0,0.9230769230769231,0.0
9,Race_ethnicity,gpt4o,disambig,0.03703703703703698,1.0,3.703703703703698
10,Race_x_SES,gpt4o,disambig,-0.09090909090909094,1.0,-9.090909090909093
11,Race_x_gender,gpt4o,disambig,0.10909090909090913,1.0,10.909090909090914
12,Religion,gpt4o,ambig,1.0,0.8888888888888888,11.111111111111116
13,Religion,gpt4o,disambig,0.6000000000000001,0.8333333333333334,60.00000000000001
14,SES,gpt4o,ambig,-1.0,0.9787234042553191,-2.127659574468088
15,SES,gpt4o,disambig,-0.04347826086956519,1.0,-4.347826086956519
16,Sexual_orientation,gpt4o,disambig,0.33333333333333326,0.8571428571428571,33.33333333333333
