,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,gpt4o,ambig,0.3999999999999999,0.23076923076923078,30.76923076923076
1,Age,gpt4o,disambig,0.75,0.8,75.0
0,Religion,gpt4o,ambig,0.0,0.7777777777777778,0.0
1,Religion,gpt4o,disambig,-0.1428571428571429,0.8571428571428571,-14.28571428571429
0,Physical_appearance,gpt4o,ambig,-0.5384615384615384,0.23529411764705882,-41.17647058823529
1,Physical_appearance,gpt4o,disambig,0.5,0.9230769230769231,50.0
0,SES,gpt4o,ambig,0.2857142857142858,0.4166666666666667,16.66666666666667
1,SES,gpt4o,disambig,0.04347826086956519,1.0,4.347826086956519
0,Race_ethnicity,gpt4o,ambig,0.05263157894736836,0.5365853658536586,2.4390243902438993
1,Race_ethnicity,gpt4o,disambig,0.2727272727272727,0.9821428571428571,27.27272727272727
0,Race_x_gender,gpt4o,ambig,0.1515151515151516,0.6666666666666666,5.050505050505054
1,Race_x_gender,gpt4o,disambig,0.2407407407407407,0.9553571428571429,24.07407407407407
0,Disability_status,gpt4o,ambig,0.2941176470588236,0.19047619047619047,23.809523809523814
1,Disability_status,gpt4o,disambig,0.0,0.8823529411764706,0.0
0,Nationality,gpt4o,ambig,0.0,0.6,0.0
1,Nationality,gpt4o,disambig,0.25,1.0,25.0
0,Sexual_orientation,gpt4o,ambig,-0.5,0.6,-20.0
1,Sexual_orientation,gpt4o,disambig,-0.1428571428571429,1.0,-14.28571428571429
0,Gender_identity,gpt4o,ambig,-0.4285714285714286,0.5625,-18.75
1,Gender_identity,gpt4o,disambig,0.0,0.96,0.0
