,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Religion,gpt4omini,ambig,1.0,0.4444444444444444,55.55555555555556
1,Religion,gpt4omini,disambig,-0.4285714285714286,0.7142857142857143,-42.85714285714286
0,Race_x_SES,gpt4omini,ambig,0.2359550561797752,0.5482233502538071,10.659898477157356
1,Race_x_SES,gpt4omini,disambig,-0.018867924528301883,0.9724770642201835,-1.8867924528301883
0,Physical_appearance,gpt4omini,ambig,-0.19999999999999996,0.11764705882352941,-17.647058823529406
1,Physical_appearance,gpt4omini,disambig,0.4545454545454546,0.6923076923076923,45.45454545454546
0,SES,gpt4omini,ambig,0.33333333333333326,0.5,16.666666666666664
1,SES,gpt4omini,disambig,0.05263157894736836,0.7391304347826086,5.263157894736836
0,Race_ethnicity,gpt4omini,ambig,0.18918918918918926,0.5487804878048781,8.53658536585366
1,Race_ethnicity,gpt4omini,disambig,0.2857142857142858,0.9464285714285714,28.57142857142858
0,Race_x_gender,gpt4omini,ambig,0.04477611940298498,0.6616161616161617,1.5151515151515118
1,Race_x_gender,gpt4omini,disambig,0.1454545454545455,0.9017857142857143,14.54545454545455
0,Disability_status,gpt4omini,ambig,0.7142857142857142,0.3333333333333333,47.61904761904761
1,Disability_status,gpt4omini,disambig,-0.25,0.6470588235294118,-25.0
0,Nationality,gpt4omini,ambig,0.33333333333333326,0.6,13.33333333333333
1,Nationality,gpt4omini,disambig,0.0,0.875,0.0
0,Sexual_orientation,gpt4omini,ambig,-1.0,0.6,-40.0
1,Sexual_orientation,gpt4omini,disambig,0.0,0.7142857142857143,0.0
0,Gender_identity,gpt4omini,ambig,0.06666666666666665,0.6875,2.083333333333333
1,Gender_identity,gpt4omini,disambig,0.0,0.88,0.0
