,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,gpt4o,ambig,0.33333333333333326,0.3076923076923077,23.07692307692307
1,Age,gpt4o,disambig,0.7777777777777777,0.9,77.77777777777777
0,Religion,gpt4o,ambig,0.0,0.7777777777777778,0.0
1,Religion,gpt4o,disambig,-0.1428571428571429,0.8571428571428571,-14.28571428571429
0,Race_x_SES,gpt4o,ambig,0.13793103448275867,0.7055837563451777,4.060913705583758
1,Race_x_SES,gpt4o,disambig,-0.04587155963302747,1.0,-4.587155963302747
0,Physical_appearance,gpt4o,ambig,-0.5,0.29411764705882354,-35.29411764705882
1,Physical_appearance,gpt4o,disambig,0.5,0.9230769230769231,50.0
0,SES,gpt4o,ambig,0.26315789473684204,0.6041666666666666,10.416666666666664
1,SES,gpt4o,disambig,0.04347826086956519,1.0,4.347826086956519
0,Race_ethnicity,gpt4o,ambig,0.29032258064516125,0.6219512195121951,10.97560975609756
1,Race_ethnicity,gpt4o,disambig,0.2592592592592593,0.9642857142857143,25.92592592592593
0,Race_x_gender,gpt4o,ambig,0.17241379310344818,0.7070707070707071,5.0505050505050475
1,Race_x_gender,gpt4o,disambig,0.19999999999999996,0.9642857142857143,19.999999999999996
0,Disability_status,gpt4o,ambig,0.3999999999999999,0.5238095238095238,19.04761904761904
1,Disability_status,gpt4o,disambig,0.0,0.8235294117647058,0.0
0,Nationality,gpt4o,ambig,-0.33333333333333337,0.6,-13.333333333333336
1,Nationality,gpt4o,disambig,0.25,1.0,25.0
0,Sexual_orientation,gpt4o,ambig,-0.6666666666666667,0.4,-40.0
1,Sexual_orientation,gpt4o,disambig,-0.1428571428571429,1.0,-14.28571428571429
