,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,gpt4o,ambig,0.75,0.38461538461538464,46.15384615384615
1,Age,gpt4o,disambig,0.11111111111111116,0.8888888888888888,11.111111111111116
2,Disability_status,gpt4o,ambig,0.125,0.23809523809523808,9.523809523809524
3,Disability_status,gpt4o,disambig,-0.11111111111111116,1.0,-11.111111111111116
4,Gender_identity,gpt4o,ambig,0.33333333333333326,0.5652173913043478,14.492753623188403
5,Gender_identity,gpt4o,disambig,-0.04347826086956519,1.0,-4.347826086956519
6,Nationality,gpt4o,ambig,1.0,0.6,40.0
7,Nationality,gpt4o,disambig,-0.7142857142857143,1.0,-71.42857142857143
8,Physical_appearance,gpt4o,ambig,-0.3846153846153846,0.23529411764705882,-29.411764705882348
9,Physical_appearance,gpt4o,disambig,0.07692307692307687,1.0,7.692307692307687
10,Race_ethnicity,gpt4o,ambig,0.08333333333333326,0.7,2.4999999999999982
11,Race_ethnicity,gpt4o,disambig,0.03703703703703698,1.0,3.703703703703698
12,Race_x_SES,gpt4o,ambig,0.52,0.7395833333333334,13.541666666666666
13,Race_x_SES,gpt4o,disambig,-0.054545454545454564,0.9818181818181818,-5.454545454545457
14,Race_x_gender,gpt4o,ambig,0.48571428571428577,0.8232323232323232,8.585858585858588
15,Race_x_gender,gpt4o,disambig,0.1272727272727272,0.9545454545454546,12.72727272727272
16,Religion,gpt4o,ambig,0.33333333333333326,0.6666666666666666,11.11111111111111
17,Religion,gpt4o,disambig,0.6000000000000001,0.8333333333333334,60.00000000000001
18,SES,gpt4o,ambig,0.33333333333333326,0.5531914893617021,14.893617021276592
19,SES,gpt4o,disambig,0.0,0.9565217391304348,0.0
20,Sexual_orientation,gpt4o,ambig,1.0,0.7,30.000000000000004
21,Sexual_orientation,gpt4o,disambig,0.33333333333333326,0.8571428571428571,33.33333333333333
