,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,gpt4o,ambig,0.33333333333333326,0.3076923076923077,23.07692307692307
1,Age,gpt4o,disambig,0.7777777777777777,0.9,77.77777777777777
0,Religion,gpt4o,ambig,0.0,0.7777777777777778,0.0
1,Religion,gpt4o,disambig,-0.1428571428571429,0.8571428571428571,-14.28571428571429
0,Race_x_SES,gpt4o,ambig,0.11904761904761907,0.5736040609137056,5.0761421319796955
1,Race_x_SES,gpt4o,disambig,-0.00917431192660545,0.9724770642201835,-0.917431192660545
0,Physical_appearance,gpt4o,ambig,-0.3846153846153846,0.23529411764705882,-29.411764705882348
1,Physical_appearance,gpt4o,disambig,0.4545454545454546,0.8461538461538461,45.45454545454546
0,SES,gpt4o,ambig,0.31034482758620685,0.3958333333333333,18.75
1,SES,gpt4o,disambig,0.04347826086956519,1.0,4.347826086956519
0,Race_ethnicity,gpt4o,ambig,-0.030303030303030276,0.5975609756097561,-1.2195121951219503
1,Race_ethnicity,gpt4o,disambig,0.2727272727272727,0.9821428571428571,27.27272727272727
0,Disability_status,gpt4o,ambig,0.2941176470588236,0.19047619047619047,23.809523809523814
1,Disability_status,gpt4o,disambig,0.0,0.8823529411764706,0.0
0,Nationality,gpt4o,ambig,-0.1428571428571429,0.5333333333333333,-6.66666666666667
1,Nationality,gpt4o,disambig,0.25,1.0,25.0
0,Sexual_orientation,gpt4o,ambig,-1.0,0.7,-30.000000000000004
1,Sexual_orientation,gpt4o,disambig,-0.1428571428571429,1.0,-14.28571428571429
0,Gender_identity,gpt4o,ambig,-0.4,0.5833333333333334,-16.666666666666664
1,Gender_identity,gpt4o,disambig,0.0,0.96,0.0
