,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,gpt4omini,ambig,0.25,0.38461538461538464,15.384615384615385
1,Age,gpt4omini,disambig,0.6000000000000001,0.8,60.00000000000001
0,Religion,gpt4omini,ambig,1.0,0.5555555555555556,44.44444444444444
1,Religion,gpt4omini,disambig,-0.1428571428571429,0.8571428571428571,-14.28571428571429
0,Race_x_SES,gpt4omini,ambig,0.13207547169811318,0.7309644670050761,3.5532994923857864
1,Race_x_SES,gpt4omini,disambig,-0.028037383177570097,0.981651376146789,-2.8037383177570097
0,Physical_appearance,gpt4omini,ambig,0.07692307692307687,0.23529411764705882,5.882352941176467
1,Physical_appearance,gpt4omini,disambig,0.5,0.8461538461538461,50.0
0,SES,gpt4omini,ambig,0.1428571428571428,0.5625,6.249999999999997
1,SES,gpt4omini,disambig,0.19999999999999996,0.6956521739130435,19.999999999999996
0,Race_ethnicity,gpt4omini,ambig,0.29032258064516125,0.6219512195121951,10.97560975609756
1,Race_ethnicity,gpt4omini,disambig,0.3214285714285714,0.9642857142857143,32.14285714285714
0,Race_x_gender,gpt4omini,ambig,0.2333333333333334,0.696969696969697,7.070707070707072
1,Race_x_gender,gpt4omini,disambig,0.12962962962962954,0.9107142857142857,12.962962962962955
0,Disability_status,gpt4omini,ambig,0.3999999999999999,0.5238095238095238,19.04761904761904
1,Disability_status,gpt4omini,disambig,-0.17647058823529416,0.7058823529411765,-17.647058823529417
0,Nationality,gpt4omini,ambig,0.6000000000000001,0.6666666666666666,20.000000000000004
1,Nationality,gpt4omini,disambig,0.1428571428571428,0.75,14.28571428571428
0,Sexual_orientation,gpt4omini,ambig,-0.6,0.5,-30.0
1,Sexual_orientation,gpt4omini,disambig,0.1428571428571428,0.8571428571428571,14.28571428571428
