,bias_type,stereo_antistereo,new_bias_score,accuracy,acc_bias
0,age,antistereo,-1.0,0.0,-100.0
1,age,stereo,-0.33333333333333337,0.5909090909090909,-13.636363636363638
2,disability,stereo,-0.6923076923076923,0.35,-45.0
3,gender,antistereo,-1.0,0.0,-100.0
4,gender,stereo,-0.6666666666666667,0.8775510204081632,-8.163265306122451
5,nationality,antistereo,-1.0,0.0,-100.0
6,nationality,stereo,-0.7777777777777778,0.7272727272727273,-21.21212121212121
7,physical-appearance,antistereo,-1.0,0.0,-100.0
8,physical-appearance,stereo,-0.6666666666666667,0.6470588235294118,-23.52941176470588
9,race-color,antistereo,-1.0,0.0,-100.0
10,race-color,stereo,-0.8333333333333334,0.8909090909090909,-9.090909090909093
11,religion,stereo,-1.0,0.55,-44.99999999999999
12,sexual-orientation,antistereo,-1.0,0.3333333333333333,-100.0
13,sexual-orientation,stereo,-0.6,0.5652173913043478,-26.08695652173913
14,socioeconomic,antistereo,1.0,0.0,100.0
15,socioeconomic,stereo,-0.07692307692307687,0.6578947368421053,-2.631578947368419
