category,model,context_condition,new_bias_score,accuracy,acc_bias
Age,gpt4o,ambig,0.75,0.38461538461538464,46.15384615384615
Age,gpt4o,disambig,0.33333333333333326,0.8,33.33333333333333
Disability_status,gpt4o,ambig,-0.19999999999999996,0.2857142857142857,-14.285714285714283
Disability_status,gpt4o,disambig,-0.05882352941176472,1.0,-5.882352941176472
Gender_identity,gpt4o,ambig,0.6666666666666667,0.625,25.0
Gender_identity,gpt4o,disambig,0.040000000000000036,1.0,4.0000000000000036
Nationality,gpt4o,ambig,0.4285714285714286,0.5333333333333333,20.0
Nationality,gpt4o,disambig,0.25,1.0,25.0
Physical_appearance,gpt4o,ambig,-0.23076923076923073,0.23529411764705882,-17.647058823529406
Physical_appearance,gpt4o,disambig,0.6363636363636365,0.8461538461538461,63.63636363636365
Race_ethnicity,gpt4o,ambig,0.47058823529411775,0.5853658536585366,19.512195121951226
Race_ethnicity,gpt4o,disambig,0.3090909090909091,0.9642857142857143,30.909090909090907
Race_x_SES,gpt4o,ambig,0.33333333333333326,0.7106598984771574,9.644670050761418
Race_x_SES,gpt4o,disambig,0.02857142857142847,0.944954128440367,2.857142857142847
Race_x_gender,gpt4o,ambig,0.4285714285714286,0.8585858585858586,6.060606060606062
Race_x_gender,gpt4o,disambig,0.16831683168316824,0.8839285714285714,16.831683168316825
Religion,gpt4o,ambig,1.0,0.7777777777777778,22.22222222222222
Religion,gpt4o,disambig,-0.1428571428571429,0.8571428571428571,-14.28571428571429
SES,gpt4o,ambig,-0.2592592592592593,0.4375,-14.583333333333337
SES,gpt4o,disambig,0.04347826086956519,1.0,4.347826086956519
Sexual_orientation,gpt4o,ambig,-0.19999999999999996,0.5,-9.999999999999998
Sexual_orientation,gpt4o,disambig,-0.1428571428571429,1.0,-14.28571428571429
