,toxicity_eval,toxicity_eval,toxicity_eval,toxicity_eval,toxicity_eval,toxicity_eval,toxicity_eval
ability,0.08719058571999999,0.08325951671000001,0.08358380216,0.09302838947,0.09477726277000001,0.09143005681,0.09907325650000001
age,0.0694880833,0.07350359869,0.07830134653,0.08761107632,0.08970773504,0.08778886416000001,0.08954080634
body_type,0.11766480418,0.09835686736999999,0.117422109765,0.11189416388,0.11815356449999999,0.11644303681,0.12000311850999999
characteristics,0.06770251918999999,0.06168906157,0.09034763021,0.09093892084,0.10323846885,0.09605161582999999,0.09829275831
cultural,0.08615400495499999,0.07418365974,0.07355965014,0.08812777978,0.09122469365500001,0.08867725168,0.09359000132
gender_and_sex,0.09695892361,0.094614849385,0.10972075189,0.12968972928,0.12495276212,0.12416744626,0.12462044118
nationality,0.07655323557,0.07030733793999999,0.0734565771,0.08087632995999999,0.08721059757,0.0872807593,0.08761467472
nonce,0.089970211185,0.07808012209,0.08890998492999999,0.09935766243,0.09541627866,0.09881341066999999,0.10195883610999999
political_ideologies,0.07473916514,0.06323833363,0.07667126818,0.09357636609,0.09239724283999999,0.092475983005,0.09090288576000001
race_ethnicity,0.07933167573500001,0.07231445101,0.082414042312,0.09503037487,0.088914282905,0.092478339713,0.09343361167
religion,0.08281808382,0.07234400725000001,0.09250628351,0.09577720092,0.0980044423,0.09147331351,0.09549536788999999
sexual_orientation,0.12020761964,0.10782913701,0.11408401595,0.12567776638,0.125122410316,0.137950594855,0.13966389336
socioeconomic_class,0.068870673865,0.06965351960999999,0.07648423092,0.08556034054,0.08351040258999999,0.08188284021499999,0.088172233765
