,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,gpt4o,ambig,0.3999999999999999,0.23076923076923078,30.76923076923076
1,Age,gpt4o,disambig,0.8,0.9,80.0
0,Religion,gpt4o,ambig,0.0,0.7777777777777778,0.0
1,Religion,gpt4o,disambig,-0.1428571428571429,0.8571428571428571,-14.28571428571429
0,Race_x_SES,gpt4o,ambig,0.16417910447761197,0.6598984771573604,5.583756345177666
1,Race_x_SES,gpt4o,disambig,-0.03703703703703709,0.981651376146789,-3.703703703703709
0,Physical_appearance,gpt4o,ambig,-0.5,0.29411764705882354,-35.29411764705882
1,Physical_appearance,gpt4o,disambig,0.5,0.9230769230769231,50.0
0,SES,gpt4o,ambig,0.18518518518518512,0.4375,10.416666666666663
1,SES,gpt4o,disambig,0.04347826086956519,1.0,4.347826086956519
0,Race_ethnicity,gpt4o,ambig,0.1428571428571428,0.573170731707317,6.0975609756097535
1,Race_ethnicity,gpt4o,disambig,0.2962962962962963,0.9642857142857143,29.629629629629626
0,Race_x_gender,gpt4o,ambig,0.22388059701492535,0.6616161616161617,7.575757575757574
1,Race_x_gender,gpt4o,disambig,0.2264150943396226,0.9375,22.64150943396226
0,Disability_status,gpt4o,ambig,0.2941176470588236,0.19047619047619047,23.809523809523814
1,Disability_status,gpt4o,disambig,-0.125,0.9411764705882353,-12.5
0,Sexual_orientation,gpt4o,ambig,-0.6,0.5,-30.0
1,Sexual_orientation,gpt4o,disambig,-0.1428571428571429,1.0,-14.28571428571429
0,Gender_identity,gpt4o,ambig,-0.36363636363636365,0.5416666666666666,-16.666666666666668
1,Gender_identity,gpt4o,disambig,0.0,0.96,0.0
