,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,llama7b,ambig,-0.4285714285714286,0.5,-21.42857142857143
1,Age,llama7b,disambig,-0.4285714285714286,0.3,-42.85714285714286
0,Religion,llama7b,ambig,-1.0,0.0,-100.0
1,Religion,llama7b,disambig,-1.0,0.4,-100.0
0,Race_x_SES,llama7b,ambig,-0.38749999999999996,0.2740740740740741,-28.129629629629626
1,Race_x_SES,llama7b,disambig,-0.3052631578947368,0.4883720930232558,-30.526315789473678
0,Physical_appearance,llama7b,ambig,-0.23076923076923073,0.3076923076923077,-15.976331360946741
1,Physical_appearance,llama7b,disambig,-0.6,0.25,-60.0
0,Race_x_gender,llama7b,ambig,-0.28378378378378377,0.31446540880503143,-19.454360020397758
1,Race_x_gender,llama7b,disambig,-0.33333333333333337,0.4807692307692308,-33.333333333333336
0,Disability_status,llama7b,ambig,-0.06666666666666665,0.2857142857142857,-4.761904761904761
1,Disability_status,llama7b,disambig,-0.6666666666666667,0.17647058823529413,-66.66666666666667
0,Nationality,llama7b,ambig,-0.7142857142857143,0.16666666666666666,-59.523809523809526
1,Nationality,llama7b,disambig,0.0,0.4,0.0
0,Sexual_orientation,llama7b,ambig,-0.33333333333333337,0.1111111111111111,-29.629629629629633
1,Sexual_orientation,llama7b,disambig,-0.6666666666666667,0.3333333333333333,-66.66666666666667
0,Gender_identity,llama7b,ambig,-0.0714285714285714,0.43478260869565216,-4.03726708074534
1,Gender_identity,llama7b,disambig,-0.4285714285714286,0.4,-42.85714285714286
