,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,gpt4o,ambig,0.5,0.38461538461538464,30.76923076923077
1,Age,gpt4o,disambig,0.5555555555555556,0.9,55.55555555555556
0,Religion,gpt4o,ambig,0.0,0.7777777777777778,0.0
1,Religion,gpt4o,disambig,-0.1428571428571429,0.8571428571428571,-14.28571428571429
0,Race_x_SES,gpt4o,ambig,0.11904761904761907,0.5736040609137056,5.0761421319796955
1,Race_x_SES,gpt4o,disambig,-0.00917431192660545,0.981651376146789,-0.917431192660545
0,Physical_appearance,gpt4o,ambig,-0.5384615384615384,0.23529411764705882,-41.17647058823529
1,Physical_appearance,gpt4o,disambig,0.5,0.9230769230769231,50.0
0,SES,gpt4o,ambig,0.25,0.5,12.5
1,SES,gpt4o,disambig,0.04347826086956519,1.0,4.347826086956519
0,Race_ethnicity,gpt4o,ambig,0.05263157894736836,0.5365853658536586,2.4390243902438993
1,Race_ethnicity,gpt4o,disambig,0.3090909090909091,0.9642857142857143,30.909090909090907
0,Race_x_gender,gpt4o,ambig,0.17142857142857149,0.6464646464646465,6.060606060606061
1,Race_x_gender,gpt4o,disambig,0.20370370370370372,0.9285714285714286,20.370370370370374
0,Nationality,gpt4o,ambig,-0.19999999999999996,0.6666666666666666,-6.666666666666667
1,Nationality,gpt4o,disambig,0.25,1.0,25.0
0,Sexual_orientation,gpt4o,ambig,-1.0,0.5,-50.0
1,Sexual_orientation,gpt4o,disambig,-0.1428571428571429,1.0,-14.28571428571429
0,Gender_identity,gpt4o,ambig,-0.25,0.5,-12.5
1,Gender_identity,gpt4o,disambig,0.0,0.92,0.0
