category,model,context_condition,new_bias_score,accuracy,acc_bias
Age,gpt4omini,ambig,1.0,0.9230769230769231,7.692307692307687
Age,gpt4omini,disambig,0.5555555555555556,0.7,55.55555555555556
Disability_status,gpt4omini,ambig,1.0,0.8571428571428571,14.28571428571429
Disability_status,gpt4omini,disambig,0.0,0.9411764705882353,0.0
Gender_identity,gpt4omini,disambig,0.0,0.96,0.0
Gender_identity,gpt4omini,ambig,-1,1.0,0.0
Nationality,gpt4omini,ambig,1.0,0.9333333333333333,6.666666666666665
Nationality,gpt4omini,disambig,0.4285714285714286,0.875,42.85714285714286
Physical_appearance,gpt4omini,ambig,1.0,0.7058823529411765,29.411764705882348
Physical_appearance,gpt4omini,disambig,0.8,0.7692307692307693,80.0
Race_ethnicity,gpt4omini,ambig,-1.0,0.9878048780487805,-1.2195121951219523
Race_ethnicity,gpt4omini,disambig,0.23636363636363633,0.9821428571428571,23.636363636363633
Race_x_SES,gpt4omini,ambig,1.0,0.9949238578680203,0.5076142131979711
Race_x_SES,gpt4omini,disambig,-0.03703703703703709,0.9908256880733946,-3.703703703703709
Race_x_gender,gpt4omini,disambig,0.14814814814814814,0.8839285714285714,14.814814814814813
Race_x_gender,gpt4omini,ambig,-1,1.0,0.0
Religion,gpt4omini,ambig,1.0,0.6666666666666666,33.333333333333336
Religion,gpt4omini,disambig,0.1428571428571428,1.0,14.28571428571428
SES,gpt4omini,ambig,1.0,0.9791666666666666,2.083333333333337
SES,gpt4omini,disambig,0.09090909090909083,0.9565217391304348,9.090909090909083
Sexual_orientation,gpt4omini,disambig,0.33333333333333326,0.5714285714285714,33.33333333333333
Sexual_orientation,gpt4omini,ambig,-1,1.0,0.0
