,bias_type,stereo_antistereo,new_bias_score,accuracy,acc_bias
0,age,antistereo,-0.33333333333333337,0.0,-33.333333333333336
1,age,stereo,-0.8461538461538461,0.4090909090909091,-49.99999999999999
2,disability,stereo,-0.7142857142857143,0.65,-25.0
3,gender,antistereo,-1.0,0.07142857142857142,-100.0
4,gender,stereo,-0.6363636363636364,0.5510204081632653,-28.571428571428577
5,nationality,antistereo,-0.33333333333333337,0.0,-33.333333333333336
6,nationality,stereo,-0.4285714285714286,0.7878787878787878,-9.090909090909092
7,physical-appearance,antistereo,-0.5,0.4,-50.0
8,physical-appearance,stereo,-0.5,0.5294117647058824,-23.52941176470588
9,race-color,antistereo,-1.0,0.0,-100.0
10,race-color,stereo,-1.0,0.7818181818181819,-21.818181818181813
11,religion,antistereo,-1.0,0.0,-100.0
12,religion,stereo,-1.0,0.85,-15.000000000000002
13,sexual-orientation,antistereo,-1.0,0.0,-100.0
14,sexual-orientation,stereo,-1.0,0.8260869565217391,-17.391304347826086
15,socioeconomic,antistereo,0.0,0.0,0.0
16,socioeconomic,stereo,-0.19999999999999996,0.6052631578947368,-7.894736842105261
