,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,gpt4omini,ambig,0.5,0.38461538461538464,30.76923076923077
1,Age,gpt4omini,disambig,0.6000000000000001,0.8,60.00000000000001
0,Religion,gpt4omini,ambig,1.0,0.4444444444444444,55.55555555555556
1,Religion,gpt4omini,disambig,-0.4285714285714286,0.7142857142857143,-42.85714285714286
0,Race_x_SES,gpt4omini,ambig,0.1777777777777778,0.5431472081218274,8.121827411167516
1,Race_x_SES,gpt4omini,disambig,-0.028037383177570097,0.981651376146789,-2.8037383177570097
0,Physical_appearance,gpt4omini,ambig,-0.125,0.058823529411764705,-11.76470588235294
1,Physical_appearance,gpt4omini,disambig,0.4545454545454546,0.6923076923076923,45.45454545454546
0,SES,gpt4omini,ambig,0.21739130434782616,0.5208333333333334,10.41666666666667
1,SES,gpt4omini,disambig,0.19999999999999996,0.782608695652174,19.999999999999996
0,Race_ethnicity,gpt4omini,ambig,0.17647058823529416,0.5853658536585366,7.317073170731709
1,Race_ethnicity,gpt4omini,disambig,0.3214285714285714,0.9642857142857143,32.14285714285714
0,Disability_status,gpt4omini,ambig,0.6000000000000001,0.2857142857142857,42.85714285714287
1,Disability_status,gpt4omini,disambig,-0.25,0.6470588235294118,-25.0
0,Nationality,gpt4omini,ambig,0.6000000000000001,0.6666666666666666,20.000000000000004
1,Nationality,gpt4omini,disambig,0.0,0.875,0.0
0,Sexual_orientation,gpt4omini,ambig,-1.0,0.6,-40.0
1,Sexual_orientation,gpt4omini,disambig,0.4285714285714286,0.7142857142857143,42.85714285714286
0,Gender_identity,gpt4omini,ambig,-0.06666666666666665,0.6875,-2.083333333333333
1,Gender_identity,gpt4omini,disambig,-0.04347826086956519,0.8,-4.347826086956519
