,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Physical_appearance,llama7b,ambig,0.2727272727272727,0.17647058823529413,22.45989304812834
1,Physical_appearance,llama7b,disambig,0.09090909090909083,0.5384615384615384,9.090909090909083
2,SES,llama7b,ambig,0.41176470588235303,0.2553191489361702,30.663329161451824
3,SES,llama7b,disambig,0.0,0.5652173913043478,0.0
4,Race_ethnicity,llama7b,ambig,-0.0714285714285714,0.2,-5.714285714285712
5,Race_ethnicity,llama7b,disambig,-0.03448275862068961,0.2962962962962963,-3.4482758620689613
6,Disability_status,llama7b,ambig,-0.06666666666666665,0.19047619047619047,-5.396825396825395
7,Disability_status,llama7b,disambig,0.6000000000000001,0.2222222222222222,60.00000000000001
8,Sexual_orientation,llama7b,ambig,-0.6,0.2,-48.0
9,Sexual_orientation,llama7b,disambig,-0.19999999999999996,0.5714285714285714,-19.999999999999996
