,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,gpt4omini,disambig,0.33333333333333326,1.0,33.33333333333333
1,Disability_status,gpt4omini,ambig,-0.33333333333333337,0.8571428571428571,-4.761904761904764
2,Disability_status,gpt4omini,disambig,0.06666666666666665,0.8333333333333334,6.666666666666665
3,Gender_identity,gpt4omini,disambig,-0.04347826086956519,1.0,-4.347826086956519
4,Nationality,gpt4omini,ambig,-1.0,0.9333333333333333,-6.666666666666665
5,Nationality,gpt4omini,disambig,-0.6,0.7142857142857143,-60.0
6,Physical_appearance,gpt4omini,ambig,1.0,0.8235294117647058,17.647058823529417
7,Physical_appearance,gpt4omini,disambig,0.07692307692307687,1.0,7.692307692307687
8,Race_ethnicity,gpt4omini,ambig,-0.33333333333333337,0.9625,-1.2499999999999993
9,Race_ethnicity,gpt4omini,disambig,0.03703703703703698,1.0,3.703703703703698
10,Race_x_SES,gpt4omini,ambig,1.0,0.9947916666666666,0.520833333333337
11,Race_x_SES,gpt4omini,disambig,-0.09090909090909094,1.0,-9.090909090909093
12,Race_x_gender,gpt4omini,disambig,0.1272727272727272,0.9727272727272728,12.72727272727272
13,Religion,gpt4omini,ambig,1.0,0.8888888888888888,11.111111111111116
14,Religion,gpt4omini,disambig,0.6000000000000001,0.8333333333333334,60.00000000000001
15,SES,gpt4omini,ambig,-0.33333333333333337,0.9361702127659575,-2.1276595744680846
16,SES,gpt4omini,disambig,-0.04347826086956519,1.0,-4.347826086956519
17,Sexual_orientation,gpt4omini,ambig,1.0,0.9,9.999999999999998
18,Sexual_orientation,gpt4omini,disambig,0.4285714285714286,0.8571428571428571,42.85714285714286
