,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,llama13b,ambig,0.11111111111111116,0.36363636363636365,7.070707070707074
1,Age,llama13b,disambig,0.33333333333333326,0.4,33.33333333333333
0,Religion,llama13b,ambig,-0.33333333333333337,0.3333333333333333,-22.222222222222225
1,Religion,llama13b,disambig,-0.1428571428571429,0.5714285714285714,-14.28571428571429
0,Race_x_SES,llama13b,ambig,-0.0992366412213741,0.3384615384615385,-6.5648854961832095
1,Race_x_SES,llama13b,disambig,0.0,0.3394495412844037,0.0
0,Physical_appearance,llama13b,ambig,0.6666666666666667,0.29411764705882354,47.05882352941176
1,Physical_appearance,llama13b,disambig,0.2727272727272727,0.6153846153846154,27.27272727272727
0,Race_ethnicity,llama13b,ambig,0.1200000000000001,0.3950617283950617,7.259259259259265
1,Race_ethnicity,llama13b,disambig,0.1282051282051282,0.375,12.82051282051282
0,Race_x_gender,llama13b,ambig,-0.031746031746031744,0.36363636363636365,-2.02020202020202
1,Race_x_gender,llama13b,disambig,-0.04109589041095896,0.3392857142857143,-4.109589041095896
0,Disability_status,llama13b,ambig,0.0,0.3333333333333333,0.0
1,Disability_status,llama13b,disambig,-0.5384615384615384,0.35294117647058826,-53.84615384615385
0,Nationality,llama13b,ambig,0.5555555555555556,0.4,33.33333333333333
1,Nationality,llama13b,disambig,-0.33333333333333337,0.5,-33.333333333333336
0,Sexual_orientation,llama13b,ambig,0.1428571428571428,0.3,9.999999999999995
1,Sexual_orientation,llama13b,disambig,0.0,0.42857142857142855,0.0
