,bias_type,stereo_antistereo,new_bias_score,accuracy,acc_bias
0,age,antistereo,0.0,0.0,0.0
1,age,stereo,0.33333333333333326,0.45454545454545453,18.181818181818176
2,disability,stereo,0.19999999999999996,0.5,9.999999999999998
3,gender,antistereo,-1.0,0.07142857142857142,-100.0
4,gender,stereo,0.0,0.7142857142857143,0.0
5,nationality,antistereo,1.0,0.0,100.0
6,nationality,stereo,0.09090909090909083,0.6666666666666666,3.030303030303028
7,physical-appearance,antistereo,-1.0,0.2,-100.0
8,physical-appearance,stereo,0.6666666666666667,0.6470588235294118,23.52941176470588
9,race-color,antistereo,-1.0,0.0,-100.0
10,race-color,stereo,-0.33333333333333337,0.8909090909090909,-3.6363636363636385
11,religion,stereo,0.6000000000000001,0.75,15.000000000000002
12,sexual-orientation,antistereo,0.33333333333333326,0.0,33.33333333333333
13,sexual-orientation,stereo,0.5,0.6521739130434783,17.391304347826086
14,socioeconomic,antistereo,-1.0,0.25,-100.0
15,socioeconomic,stereo,0.8888888888888888,0.5263157894736842,42.10526315789473
