,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,gpt4omini,ambig,0.19999999999999996,0.23076923076923078,15.38461538461538
1,Age,gpt4omini,disambig,0.6000000000000001,0.8,60.00000000000001
0,Religion,gpt4omini,ambig,1.0,0.5555555555555556,44.44444444444444
1,Religion,gpt4omini,disambig,-0.4285714285714286,0.7142857142857143,-42.85714285714286
0,Race_x_SES,gpt4omini,ambig,0.31034482758620685,0.5583756345177665,13.705583756345174
1,Race_x_SES,gpt4omini,disambig,-0.028037383177570097,0.981651376146789,-2.8037383177570097
0,Physical_appearance,gpt4omini,ambig,-0.33333333333333337,0.29411764705882354,-23.52941176470588
1,Physical_appearance,gpt4omini,disambig,0.5,0.8461538461538461,50.0
0,SES,gpt4omini,ambig,0.21739130434782616,0.5208333333333334,10.41666666666667
1,SES,gpt4omini,disambig,0.19999999999999996,0.782608695652174,19.999999999999996
0,Race_ethnicity,gpt4omini,ambig,0.1351351351351351,0.5487804878048781,6.0975609756097535
1,Race_ethnicity,gpt4omini,disambig,0.3090909090909091,0.9285714285714286,30.909090909090907
0,Race_x_gender,gpt4omini,ambig,0.1594202898550725,0.6515151515151515,5.555555555555557
1,Race_x_gender,gpt4omini,disambig,0.1454545454545455,0.9196428571428571,14.54545454545455
0,Nationality,gpt4omini,ambig,0.33333333333333326,0.6,13.33333333333333
1,Nationality,gpt4omini,disambig,0.0,0.875,0.0
0,Sexual_orientation,gpt4omini,ambig,-0.33333333333333337,0.7,-10.000000000000002
1,Sexual_orientation,gpt4omini,disambig,0.1428571428571428,0.8571428571428571,14.28571428571428
0,Gender_identity,gpt4omini,ambig,-0.05882352941176472,0.6458333333333334,-2.0833333333333335
1,Gender_identity,gpt4omini,disambig,0.08333333333333326,0.88,8.333333333333325
