,bias_type,stereo_antistereo,new_bias_score,accuracy,acc_bias
0,age,antistereo,0.33333333333333326,0.0,33.33333333333333
1,age,stereo,0.0,0.5454545454545454,0.0
2,disability,stereo,0.0,0.5,0.0
3,gender,antistereo,-0.8,0.0,-80.0
4,gender,stereo,-0.25,0.5102040816326531,-12.244897959183673
5,nationality,antistereo,0.0,0.0,0.0
6,nationality,stereo,0.11111111111111116,0.7272727272727273,3.0303030303030316
7,physical-appearance,antistereo,-1.0,0.2,-100.0
8,physical-appearance,stereo,-0.33333333333333337,0.6470588235294118,-11.76470588235294
9,race-color,antistereo,-1.0,0.0,-100.0
10,race-color,stereo,-0.8181818181818181,0.8,-16.36363636363636
11,religion,antistereo,-1.0,0.0,-100.0
12,religion,stereo,1.0,0.9,9.999999999999998
13,sexual-orientation,antistereo,1.0,0.0,100.0
14,sexual-orientation,stereo,0.33333333333333326,0.7391304347826086,8.695652173913043
15,socioeconomic,antistereo,1.0,0.0,100.0
16,socioeconomic,stereo,0.8666666666666667,0.6052631578947368,34.21052631578947
