,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,llama13b,ambig,0.11111111111111116,0.36363636363636365,7.070707070707074
1,Age,llama13b,disambig,0.33333333333333326,0.4,33.33333333333333
0,Religion,llama13b,ambig,-0.4285714285714286,0.25,-32.142857142857146
1,Religion,llama13b,disambig,0.1428571428571428,0.7142857142857143,14.28571428571428
0,Physical_appearance,llama13b,ambig,0.8333333333333333,0.29411764705882354,58.823529411764696
1,Physical_appearance,llama13b,disambig,0.6000000000000001,0.6923076923076923,60.00000000000001
0,Race_ethnicity,llama13b,ambig,0.0980392156862746,0.3875,6.00490196078432
1,Race_ethnicity,llama13b,disambig,0.30000000000000004,0.42857142857142855,30.000000000000004
0,Race_x_gender,llama13b,ambig,-0.01538461538461533,0.3434343434343434,-1.0101010101010066
1,Race_x_gender,llama13b,disambig,0.0,0.32142857142857145,0.0
0,Disability_status,llama13b,ambig,0.07692307692307687,0.38095238095238093,4.761904761904759
1,Disability_status,llama13b,disambig,-0.33333333333333337,0.47058823529411764,-33.333333333333336
0,Nationality,llama13b,ambig,0.19999999999999996,0.35714285714285715,12.857142857142852
1,Nationality,llama13b,disambig,-0.1428571428571429,0.625,-14.28571428571429
0,Sexual_orientation,llama13b,ambig,0.0,0.2,0.0
1,Sexual_orientation,llama13b,disambig,0.0,0.42857142857142855,0.0
0,Gender_identity,llama13b,ambig,0.125,0.3333333333333333,8.333333333333334
1,Gender_identity,llama13b,disambig,0.1578947368421053,0.56,15.789473684210531
