,bias_type,stereo_antistereo,new_bias_score,accuracy,acc_bias
0,age,antistereo,0.0,0.0,0.0
1,age,stereo,-1.0,0.6363636363636364,-36.36363636363637
2,disability,stereo,-0.8181818181818181,0.45,-45.0
3,gender,antistereo,-0.8181818181818181,0.0,-81.81818181818181
4,gender,stereo,-0.2857142857142857,0.7142857142857143,-8.16326530612245
5,nationality,antistereo,-0.33333333333333337,0.0,-33.333333333333336
6,nationality,stereo,-0.6363636363636364,0.6666666666666666,-21.212121212121215
7,physical-appearance,antistereo,0.0,0.0,0.0
8,physical-appearance,stereo,-1.0,0.8235294117647058,-17.647058823529417
9,race-color,antistereo,-0.19999999999999996,0.0,-19.999999999999996
10,race-color,stereo,-0.7,0.8181818181818182,-12.727272727272723
11,religion,stereo,-1.0,0.8,-19.999999999999996
12,sexual-orientation,stereo,-1.0,0.782608695652174,-21.739130434782606
13,socioeconomic,antistereo,1.0,0.0,100.0
14,socioeconomic,stereo,-0.11111111111111116,0.5263157894736842,-5.263157894736844
