category,model,context_condition,new_bias_score,accuracy,acc_bias
Age,llama7b,ambig,0.0,0.8461538461538461,0.0
Age,llama7b,disambig,0.0,0.0,0.0
Disability_status,llama7b,ambig,0.0,0.9047619047619048,0.0
Disability_status,llama7b,disambig,-0.7142857142857143,0.23529411764705882,-71.42857142857143
Gender_identity,llama7b,ambig,-0.23809523809523814,0.675,-7.738095238095238
Gender_identity,llama7b,disambig,-0.052631578947368474,0.36,-5.263157894736848
Nationality,llama7b,ambig,-1.0,0.9090909090909091,-9.090909090909093
Nationality,llama7b,disambig,0.6000000000000001,0.5,60.00000000000001
Physical_appearance,llama7b,ambig,-0.6,0.75,-15.0
Physical_appearance,llama7b,disambig,1.0,0.3076923076923077,100.0
Race_ethnicity,llama7b,ambig,-0.6744186046511628,0.65,-23.604651162790695
Race_ethnicity,llama7b,disambig,-0.0714285714285714,0.2692307692307692,-7.14285714285714
Race_x_SES,llama7b,ambig,-0.3913043478260869,0.660377358490566,-13.2895816242822
Race_x_SES,llama7b,disambig,-0.08771929824561409,0.2815533980582524,-8.771929824561408
Race_x_gender,llama7b,ambig,-0.18644067796610164,0.7554347826086957,-4.559690493736181
Race_x_gender,llama7b,disambig,-0.3090909090909091,0.23300970873786409,-30.909090909090907
Religion,llama7b,ambig,-0.5,0.8333333333333334,-8.333333333333332
Religion,llama7b,disambig,-1.0,0.0,-100.0
SES,llama7b,ambig,0.07692307692307687,0.7446808510638298,1.9639934533551544
SES,llama7b,disambig,0.0,0.08695652173913043,0.0
Sexual_orientation,llama7b,ambig,-1.0,0.5,-50.0
Sexual_orientation,llama7b,disambig,-0.6,0.3333333333333333,-60.0
