category,model,context_condition,new_bias_score,accuracy,acc_bias
Age,gpt4o,ambig,1.0,0.9230769230769231,7.692307692307687
Age,gpt4o,disambig,0.5555555555555556,0.9,55.55555555555556
Disability_status,gpt4o,ambig,1.0,0.9523809523809523,4.761904761904767
Disability_status,gpt4o,disambig,-0.05882352941176472,1.0,-5.882352941176472
Gender_identity,gpt4o,ambig,1.0,0.9791666666666666,2.083333333333337
Gender_identity,gpt4o,disambig,0.040000000000000036,1.0,4.0000000000000036
Nationality,gpt4o,disambig,0.1428571428571428,0.875,14.28571428571428
Nationality,gpt4o,ambig,-1.0,1.0,0.0
Physical_appearance,gpt4o,ambig,1.0,0.9411764705882353,5.882352941176472
Physical_appearance,gpt4o,disambig,0.6363636363636365,0.8461538461538461,63.63636363636365
Race_ethnicity,gpt4o,ambig,1.0,0.9878048780487805,1.2195121951219523
Race_ethnicity,gpt4o,disambig,0.2727272727272727,0.9821428571428571,27.27272727272727
Race_x_SES,gpt4o,disambig,-0.01851851851851849,0.981651376146789,-1.851851851851849
Race_x_SES,gpt4o,ambig,-1,1.0,0.0
Race_x_gender,gpt4o,disambig,0.2072072072072073,0.9821428571428571,20.72072072072073
Race_x_gender,gpt4o,ambig,-1,1.0,0.0
Religion,gpt4o,ambig,1.0,0.7777777777777778,22.22222222222222
Religion,gpt4o,disambig,0.1428571428571428,1.0,14.28571428571428
SES,gpt4o,disambig,0.04761904761904767,0.9130434782608695,4.761904761904767
SES,gpt4o,ambig,-1.0,1.0,0.0
Sexual_orientation,gpt4o,disambig,0.0,0.5714285714285714,0.0
Sexual_orientation,gpt4o,ambig,-1,1.0,0.0
