category,model,context_condition,new_bias_score,accuracy,acc_bias
Age,llama7b,ambig,0.1428571428571428,0.5,7.14285714285714
Age,llama7b,disambig,-0.33333333333333337,0.3333333333333333,-33.333333333333336
Disability_status,llama7b,ambig,0.1428571428571428,0.3684210526315789,9.022556390977439
Disability_status,llama7b,disambig,-0.7777777777777778,0.29411764705882354,-77.77777777777779
Gender_identity,llama7b,ambig,0.09677419354838701,0.425,5.564516129032253
Gender_identity,llama7b,disambig,-0.4,0.5,-40.0
Nationality,llama7b,ambig,0.09090909090909083,0.3333333333333333,6.060606060606056
Nationality,llama7b,disambig,0.4285714285714286,0.25,42.85714285714286
Physical_appearance,llama7b,ambig,-0.19999999999999996,0.4375,-11.249999999999998
Physical_appearance,llama7b,disambig,0.25,0.4166666666666667,25.0
Race_ethnicity,llama7b,ambig,-0.33333333333333337,0.3728813559322034,-20.90395480225989
Race_ethnicity,llama7b,disambig,-0.2558139534883721,0.3695652173913043,-25.581395348837212
Race_x_SES,llama7b,ambig,-0.452054794520548,0.3805970149253731,-28.000408914332446
Race_x_SES,llama7b,disambig,-0.4285714285714286,0.37662337662337664,-42.85714285714286
Race_x_gender,llama7b,ambig,-0.33333333333333337,0.3493150684931507,-21.68949771689498
Race_x_gender,llama7b,disambig,-0.388235294117647,0.3978494623655914,-38.8235294117647
Religion,llama7b,ambig,-0.7142857142857143,0.4,-42.857142857142854
Religion,llama7b,disambig,-0.6,0.0,-60.0
SES,llama7b,ambig,-0.09090909090909094,0.3191489361702128,-6.189555125725341
SES,llama7b,disambig,-0.06666666666666665,0.2857142857142857,-6.666666666666665
Sexual_orientation,llama7b,ambig,-0.8,0.0,-80.0
Sexual_orientation,llama7b,disambig,-0.5,0.2,-50.0
