,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,llama7b,ambig,0.5,0.6923076923076923,15.384615384615385
1,Age,llama7b,disambig,0.33333333333333326,0.1111111111111111,33.33333333333333
2,Disability_status,llama7b,ambig,0.4285714285714286,0.6190476190476191,16.3265306122449
3,Disability_status,llama7b,disambig,0.0,0.1111111111111111,0.0
4,Gender_identity,llama7b,ambig,0.11111111111111116,0.6304347826086957,4.106280193236716
5,Gender_identity,llama7b,disambig,0.09090909090909083,0.17391304347826086,9.090909090909083
6,Nationality,llama7b,ambig,1.0,0.4,60.0
7,Nationality,llama7b,disambig,0.0,0.14285714285714285,0.0
8,Physical_appearance,llama7b,ambig,0.5,0.7647058823529411,11.764705882352944
9,Physical_appearance,llama7b,disambig,0.19999999999999996,0.3076923076923077,19.999999999999996
10,Race_ethnicity,llama7b,ambig,-0.4285714285714286,0.5,-21.42857142857143
11,Race_ethnicity,llama7b,disambig,0.5555555555555556,0.24074074074074073,55.55555555555556
12,Race_x_SES,llama7b,ambig,0.18181818181818188,0.5677083333333334,7.859848484848486
13,Race_x_SES,llama7b,disambig,0.08571428571428563,0.19090909090909092,8.571428571428562
14,Race_x_gender,llama7b,ambig,0.06666666666666665,0.6868686868686869,2.0875420875420874
15,Race_x_gender,llama7b,disambig,-0.2692307692307693,0.2636363636363636,-26.923076923076927
16,Religion,llama7b,ambig,1.0,0.3333333333333333,66.66666666666667
17,Religion,llama7b,disambig,0.33333333333333326,0.16666666666666666,33.33333333333333
18,SES,llama7b,ambig,0.0,0.9148936170212766,0.0
19,SES,llama7b,disambig,0.09090909090909083,0.21739130434782608,9.090909090909083
20,Sexual_orientation,llama7b,ambig,-1.0,0.5,-50.0
21,Sexual_orientation,llama7b,disambig,0.33333333333333326,0.7142857142857143,33.33333333333333
