,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,gpt4o,ambig,0.25,0.38461538461538464,15.384615384615385
1,Age,gpt4o,disambig,0.8,0.9,80.0
0,Religion,gpt4o,ambig,0.0,0.7777777777777778,0.0
1,Religion,gpt4o,disambig,-0.1428571428571429,0.8571428571428571,-14.28571428571429
0,Race_x_SES,gpt4o,ambig,0.04347826086956519,0.5329949238578681,2.0304568527918767
1,Race_x_SES,gpt4o,disambig,-0.03703703703703709,0.9908256880733946,-3.703703703703709
0,SES,gpt4o,ambig,0.19999999999999996,0.4791666666666667,10.416666666666663
1,SES,gpt4o,disambig,0.04347826086956519,1.0,4.347826086956519
0,Race_ethnicity,gpt4o,ambig,-0.08108108108108103,0.5487804878048781,-3.6585365853658507
1,Race_ethnicity,gpt4o,disambig,0.2962962962962963,0.9464285714285714,29.629629629629626
0,Race_x_gender,gpt4o,ambig,0.17142857142857149,0.6464646464646465,6.060606060606061
1,Race_x_gender,gpt4o,disambig,0.22935779816513757,0.9642857142857143,22.935779816513758
0,Disability_status,gpt4o,ambig,0.25,0.23809523809523808,19.047619047619047
1,Disability_status,gpt4o,disambig,-0.05882352941176472,0.8823529411764706,-5.882352941176472
0,Nationality,gpt4o,ambig,0.0,0.6,0.0
1,Nationality,gpt4o,disambig,0.25,1.0,25.0
0,Sexual_orientation,gpt4o,ambig,-0.6,0.5,-30.0
1,Sexual_orientation,gpt4o,disambig,0.0,0.8571428571428571,0.0
0,Gender_identity,gpt4o,ambig,-0.19999999999999996,0.4791666666666667,-10.416666666666663
1,Gender_identity,gpt4o,disambig,0.0,0.96,0.0
