,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Religion,gpt4o,ambig,0.0,0.7777777777777778,0.0
1,Religion,gpt4o,disambig,-0.1428571428571429,0.8571428571428571,-14.28571428571429
0,Race_x_SES,gpt4o,ambig,0.034482758620689724,0.5583756345177665,1.5228426395939116
1,Race_x_SES,gpt4o,disambig,-0.04587155963302747,1.0,-4.587155963302747
0,Physical_appearance,gpt4o,ambig,-0.5384615384615384,0.23529411764705882,-41.17647058823529
1,Physical_appearance,gpt4o,disambig,0.5,0.9230769230769231,50.0
0,SES,gpt4o,ambig,0.24137931034482762,0.3958333333333333,14.583333333333337
1,SES,gpt4o,disambig,0.04347826086956519,1.0,4.347826086956519
0,Race_ethnicity,gpt4o,ambig,0.030303030303030276,0.5975609756097561,1.2195121951219503
1,Race_ethnicity,gpt4o,disambig,0.3090909090909091,0.9642857142857143,30.909090909090907
0,Race_x_gender,gpt4o,ambig,0.1470588235294117,0.6565656565656566,5.0505050505050475
1,Race_x_gender,gpt4o,disambig,0.21100917431192667,0.9642857142857143,21.100917431192666
0,Disability_status,gpt4o,ambig,0.2941176470588236,0.19047619047619047,23.809523809523814
1,Disability_status,gpt4o,disambig,-0.05882352941176472,0.8823529411764706,-5.882352941176472
0,Nationality,gpt4o,ambig,0.0,0.6,0.0
1,Nationality,gpt4o,disambig,0.25,1.0,25.0
0,Sexual_orientation,gpt4o,ambig,-1.0,0.7,-30.000000000000004
1,Sexual_orientation,gpt4o,disambig,0.0,0.8571428571428571,0.0
0,Gender_identity,gpt4o,ambig,-0.4285714285714286,0.5625,-18.75
1,Gender_identity,gpt4o,disambig,0.04347826086956519,0.92,4.347826086956519
