category,model,context_condition,new_bias_score,accuracy,acc_bias
Age,llama7b,ambig,-0.7142857142857143,0.45454545454545453,-38.96103896103896
Age,llama7b,disambig,0.25,0.4444444444444444,25.0
Disability_status,llama7b,ambig,0.0,0.25,0.0
Disability_status,llama7b,disambig,0.07692307692307687,0.125,7.692307692307687
Gender_identity,llama7b,ambig,0.09523809523809534,0.13157894736842105,8.270676691729333
Gender_identity,llama7b,disambig,-0.05882352941176472,0.43478260869565216,-5.882352941176472
Nationality,llama7b,ambig,0.1428571428571428,0.16666666666666666,11.9047619047619
Nationality,llama7b,disambig,-0.5,0.8,-50.0
Physical_appearance,llama7b,ambig,-0.4666666666666667,0.14285714285714285,-40.0
Physical_appearance,llama7b,disambig,-0.07692307692307687,0.5,-7.692307692307687
Race_ethnicity,llama7b,ambig,-0.368421052631579,0.4716981132075472,-19.463753723932477
Race_ethnicity,llama7b,disambig,-0.1063829787234043,0.475,-10.63829787234043
Race_x_SES,llama7b,ambig,-0.19480519480519476,0.24550898203592814,-14.697876973326071
Race_x_SES,llama7b,disambig,-0.3023255813953488,0.43157894736842106,-30.23255813953488
Race_x_gender,llama7b,ambig,-0.06666666666666665,0.27325581395348836,-4.844961240310076
Race_x_gender,llama7b,disambig,-0.0337078651685393,0.48,-3.3707865168539297
Religion,llama7b,ambig,-1.0,1.0,-0.0
Religion,llama7b,disambig,-1.0,0.3333333333333333,-100.0
SES,llama7b,ambig,0.2432432432432432,0.25,18.24324324324324
SES,llama7b,disambig,-0.19999999999999996,0.2727272727272727,-19.999999999999996
Sexual_orientation,llama7b,ambig,-0.4285714285714286,0.375,-26.785714285714292
Sexual_orientation,llama7b,disambig,0.0,0.8333333333333334,0.0
