,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,gpt4o,ambig,0.3999999999999999,0.23076923076923078,30.76923076923076
1,Age,gpt4o,disambig,0.75,0.8,75.0
0,Religion,gpt4o,ambig,0.0,0.7777777777777778,0.0
1,Religion,gpt4o,disambig,-0.1428571428571429,0.8571428571428571,-14.28571428571429
0,Race_x_SES,gpt4o,ambig,-0.013333333333333308,0.6192893401015228,-0.5076142131979686
1,Race_x_SES,gpt4o,disambig,-0.03703703703703709,0.9908256880733946,-3.703703703703709
0,Physical_appearance,gpt4o,ambig,-0.5384615384615384,0.23529411764705882,-41.17647058823529
1,Physical_appearance,gpt4o,disambig,0.4545454545454546,0.8461538461538461,45.45454545454546
0,Race_ethnicity,gpt4o,ambig,0.0,0.5853658536585366,0.0
1,Race_ethnicity,gpt4o,disambig,0.2962962962962963,0.9642857142857143,29.629629629629626
0,Race_x_gender,gpt4o,ambig,0.18918918918918926,0.6262626262626263,7.070707070707072
1,Race_x_gender,gpt4o,disambig,0.22935779816513757,0.9642857142857143,22.935779816513758
0,Disability_status,gpt4o,ambig,0.33333333333333326,0.2857142857142857,23.809523809523807
1,Disability_status,gpt4o,disambig,0.0,0.8823529411764706,0.0
0,Nationality,gpt4o,ambig,-0.5,0.7333333333333333,-13.333333333333336
1,Nationality,gpt4o,disambig,0.25,1.0,25.0
0,Sexual_orientation,gpt4o,ambig,-1.0,0.6,-40.0
1,Sexual_orientation,gpt4o,disambig,0.0,0.8571428571428571,0.0
0,Gender_identity,gpt4o,ambig,-0.3913043478260869,0.5208333333333334,-18.749999999999996
1,Gender_identity,gpt4o,disambig,0.0,0.96,0.0
