,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,gpt4omini,ambig,0.0,0.23076923076923078,0.0
1,Age,gpt4omini,disambig,0.6000000000000001,0.8,60.00000000000001
0,Religion,gpt4omini,ambig,0.5,0.5555555555555556,22.22222222222222
1,Religion,gpt4omini,disambig,-0.1428571428571429,0.8571428571428571,-14.28571428571429
0,Race_x_SES,gpt4omini,ambig,0.26530612244897966,0.5025380710659898,13.197969543147215
1,Race_x_SES,gpt4omini,disambig,-0.028037383177570097,0.981651376146789,-2.8037383177570097
0,SES,gpt4omini,ambig,0.21739130434782616,0.5208333333333334,10.41666666666667
1,SES,gpt4omini,disambig,0.1428571428571428,0.8260869565217391,14.28571428571428
0,Race_ethnicity,gpt4omini,ambig,0.1578947368421053,0.5365853658536586,7.317073170731709
1,Race_ethnicity,gpt4omini,disambig,0.25,1.0,25.0
0,Race_x_gender,gpt4omini,ambig,0.22222222222222232,0.6363636363636364,8.080808080808085
1,Race_x_gender,gpt4omini,disambig,0.13761467889908263,0.9017857142857143,13.761467889908264
0,Disability_status,gpt4omini,ambig,0.6000000000000001,0.2857142857142857,42.85714285714287
1,Disability_status,gpt4omini,disambig,-0.2941176470588235,0.7647058823529411,-29.411764705882348
0,Nationality,gpt4omini,ambig,0.19999999999999996,0.6666666666666666,6.666666666666667
1,Nationality,gpt4omini,disambig,0.1428571428571428,0.75,14.28571428571428
0,Sexual_orientation,gpt4omini,ambig,-1.0,0.6,-40.0
1,Sexual_orientation,gpt4omini,disambig,0.4285714285714286,0.7142857142857143,42.85714285714286
0,Gender_identity,gpt4omini,ambig,-0.19999999999999996,0.6875,-6.249999999999998
1,Gender_identity,gpt4omini,disambig,0.0,0.8,0.0
