,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,llama13b,ambig,0.11111111111111116,0.36363636363636365,7.070707070707074
1,Age,llama13b,disambig,0.33333333333333326,0.4,33.33333333333333
0,Religion,llama13b,ambig,-0.33333333333333337,0.375,-20.833333333333336
1,Religion,llama13b,disambig,-0.1428571428571429,0.5714285714285714,-14.28571428571429
0,Race_x_SES,llama13b,ambig,-0.15555555555555556,0.3163265306122449,-10.634920634920634
1,Race_x_SES,llama13b,disambig,0.06493506493506485,0.3944954128440367,6.493506493506485
0,Physical_appearance,llama13b,ambig,0.8333333333333333,0.29411764705882354,58.823529411764696
1,Physical_appearance,llama13b,disambig,0.11111111111111116,0.5384615384615384,11.111111111111116
0,Race_ethnicity,llama13b,ambig,0.15384615384615374,0.36585365853658536,9.756097560975602
1,Race_ethnicity,llama13b,disambig,0.3513513513513513,0.42857142857142855,35.13513513513513
0,Race_x_gender,llama13b,ambig,-0.03759398496240607,0.3282828282828283,-2.5252525252525286
1,Race_x_gender,llama13b,disambig,-0.04109589041095896,0.32142857142857145,-4.109589041095896
0,Nationality,llama13b,ambig,0.33333333333333326,0.4,19.999999999999996
1,Nationality,llama13b,disambig,-0.33333333333333337,0.5,-33.333333333333336
0,Sexual_orientation,llama13b,ambig,0.1428571428571428,0.3,9.999999999999995
1,Sexual_orientation,llama13b,disambig,0.0,0.42857142857142855,0.0
0,Gender_identity,llama13b,ambig,0.16129032258064524,0.3541666666666667,10.41666666666667
1,Gender_identity,llama13b,disambig,0.22222222222222232,0.52,22.222222222222232
