,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,gpt4o,ambig,0.33333333333333326,0.3076923076923077,23.07692307692307
1,Age,gpt4o,disambig,0.6000000000000001,1.0,60.00000000000001
0,Religion,gpt4o,ambig,0.0,0.7777777777777778,0.0
1,Religion,gpt4o,disambig,-0.1428571428571429,0.8571428571428571,-14.28571428571429
0,Race_x_SES,gpt4o,ambig,0.13953488372093026,0.5634517766497462,6.091370558375635
1,Race_x_SES,gpt4o,disambig,-0.03703703703703709,0.9908256880733946,-3.703703703703709
0,Physical_appearance,gpt4o,ambig,-0.23076923076923073,0.23529411764705882,-17.647058823529406
1,Physical_appearance,gpt4o,disambig,0.6363636363636365,0.8461538461538461,63.63636363636365
0,SES,gpt4o,ambig,0.16666666666666674,0.5,8.333333333333337
1,SES,gpt4o,disambig,0.04347826086956519,1.0,4.347826086956519
0,Race_ethnicity,gpt4o,ambig,0.1282051282051282,0.524390243902439,6.097560975609755
1,Race_ethnicity,gpt4o,disambig,0.2962962962962963,0.9642857142857143,29.629629629629626
0,Race_x_gender,gpt4o,ambig,0.18181818181818188,0.6666666666666666,6.060606060606063
1,Race_x_gender,gpt4o,disambig,0.19626168224299056,0.9464285714285714,19.626168224299057
0,Disability_status,gpt4o,ambig,0.19999999999999996,0.2857142857142857,14.285714285714283
1,Disability_status,gpt4o,disambig,-0.125,0.8823529411764706,-12.5
0,Nationality,gpt4o,ambig,0.33333333333333326,0.6,13.33333333333333
1,Nationality,gpt4o,disambig,0.1428571428571428,0.875,14.28571428571428
0,Gender_identity,gpt4o,ambig,-0.36363636363636365,0.5416666666666666,-16.666666666666668
1,Gender_identity,gpt4o,disambig,-0.040000000000000036,0.96,-4.0000000000000036
