,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Religion,llama13b,ambig,-0.4285714285714286,0.25,-32.142857142857146
1,Religion,llama13b,disambig,-0.4285714285714286,0.42857142857142855,-42.85714285714286
0,Race_x_SES,llama13b,ambig,-0.08823529411764708,0.3096446700507614,-6.091370558375637
1,Race_x_SES,llama13b,disambig,0.02564102564102555,0.3669724770642202,2.564102564102555
0,Physical_appearance,llama13b,ambig,0.8333333333333333,0.29411764705882354,58.823529411764696
1,Physical_appearance,llama13b,disambig,0.33333333333333326,0.5384615384615384,33.33333333333333
0,Race_ethnicity,llama13b,ambig,0.16666666666666674,0.4146341463414634,9.756097560975615
1,Race_ethnicity,llama13b,disambig,0.2682926829268293,0.48214285714285715,26.82926829268293
0,Race_x_gender,llama13b,ambig,0.03759398496240607,0.3282828282828283,2.5252525252525286
1,Race_x_gender,llama13b,disambig,0.014084507042253502,0.32142857142857145,1.4084507042253502
0,Disability_status,llama13b,ambig,0.0,0.3333333333333333,0.0
1,Disability_status,llama13b,disambig,-0.5,0.4117647058823529,-50.0
0,Nationality,llama13b,ambig,0.3999999999999999,0.3333333333333333,26.666666666666668
1,Nationality,llama13b,disambig,-0.33333333333333337,0.5,-33.333333333333336
0,Sexual_orientation,llama13b,ambig,0.0,0.2,0.0
1,Sexual_orientation,llama13b,disambig,0.0,0.42857142857142855,0.0
0,Gender_identity,llama13b,ambig,0.125,0.3333333333333333,8.333333333333334
1,Gender_identity,llama13b,disambig,0.368421052631579,0.56,36.8421052631579
