,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,gpt4omini,ambig,0.19999999999999996,0.23076923076923078,15.38461538461538
1,Age,gpt4omini,disambig,0.6000000000000001,0.8,60.00000000000001
0,Race_x_SES,gpt4omini,ambig,0.27659574468085113,0.5228426395939086,13.197969543147211
1,Race_x_SES,gpt4omini,disambig,-0.028037383177570097,0.981651376146789,-2.8037383177570097
0,Physical_appearance,gpt4omini,ambig,-0.19999999999999996,0.11764705882352941,-17.647058823529406
1,Physical_appearance,gpt4omini,disambig,0.4545454545454546,0.6923076923076923,45.45454545454546
0,SES,gpt4omini,ambig,0.25,0.5,12.5
1,SES,gpt4omini,disambig,0.19999999999999996,0.782608695652174,19.999999999999996
0,Race_ethnicity,gpt4omini,ambig,0.26315789473684204,0.5365853658536586,12.195121951219507
1,Race_ethnicity,gpt4omini,disambig,0.2727272727272727,0.9464285714285714,27.27272727272727
0,Race_x_gender,gpt4omini,ambig,0.026315789473684292,0.6161616161616161,1.0101010101010133
1,Race_x_gender,gpt4omini,disambig,0.14814814814814814,0.9196428571428571,14.814814814814813
0,Disability_status,gpt4omini,ambig,0.6000000000000001,0.2857142857142857,42.85714285714287
1,Disability_status,gpt4omini,disambig,-0.25,0.6470588235294118,-25.0
0,Nationality,gpt4omini,ambig,0.33333333333333326,0.6,13.33333333333333
1,Nationality,gpt4omini,disambig,0.0,0.875,0.0
0,Sexual_orientation,gpt4omini,ambig,-1.0,0.6,-40.0
1,Sexual_orientation,gpt4omini,disambig,0.0,0.7142857142857143,0.0
0,Gender_identity,gpt4omini,ambig,0.125,0.6666666666666666,4.166666666666667
1,Gender_identity,gpt4omini,disambig,0.040000000000000036,0.92,4.0000000000000036
