category,model,context_condition,new_bias_score,accuracy,acc_bias
Age,gpt4omini,ambig,0.19999999999999996,0.23076923076923078,15.38461538461538
Age,gpt4omini,disambig,0.8,0.9,80.0
Disability_status,gpt4omini,ambig,0.25,0.23809523809523808,19.047619047619047
Disability_status,gpt4omini,disambig,0.17647058823529416,0.8823529411764706,17.647058823529417
Gender_identity,gpt4omini,ambig,0.0,0.625,0.0
Gender_identity,gpt4omini,disambig,0.08333333333333326,0.92,8.333333333333325
Nationality,gpt4omini,ambig,1.0,0.5333333333333333,46.666666666666664
Nationality,gpt4omini,disambig,0.25,1.0,25.0
Physical_appearance,gpt4omini,ambig,0.19999999999999996,0.4117647058823529,11.76470588235294
Physical_appearance,gpt4omini,disambig,0.3846153846153846,0.7692307692307693,38.46153846153846
Race_ethnicity,gpt4omini,ambig,0.8461538461538463,0.6829268292682927,26.82926829268293
Race_ethnicity,gpt4omini,disambig,0.2727272727272727,0.9821428571428571,27.27272727272727
Race_x_SES,gpt4omini,ambig,0.6756756756756757,0.8121827411167513,12.690355329949238
Race_x_SES,gpt4omini,disambig,-0.009345794392523366,0.9724770642201835,-0.9345794392523366
Race_x_gender,gpt4omini,ambig,0.4054054054054055,0.8131313131313131,7.575757575757576
Race_x_gender,gpt4omini,disambig,0.0990990990990992,0.8928571428571429,9.90990990990992
Religion,gpt4omini,ambig,1.0,0.4444444444444444,55.55555555555556
Religion,gpt4omini,disambig,-0.1428571428571429,0.8571428571428571,-14.28571428571429
SES,gpt4omini,ambig,0.3999999999999999,0.375,24.999999999999993
SES,gpt4omini,disambig,0.13043478260869557,0.8695652173913043,13.043478260869556
Sexual_orientation,gpt4omini,ambig,0.0,0.6,0.0
Sexual_orientation,gpt4omini,disambig,-0.33333333333333337,0.8571428571428571,-33.333333333333336
