,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,gpt4o,ambig,0.3999999999999999,0.23076923076923078,30.76923076923076
1,Age,gpt4o,disambig,0.6000000000000001,1.0,60.00000000000001
0,Religion,gpt4o,ambig,0.33333333333333326,0.6666666666666666,11.11111111111111
1,Religion,gpt4o,disambig,-0.33333333333333337,0.7142857142857143,-33.333333333333336
0,Race_x_SES,gpt4o,ambig,0.05128205128205132,0.6040609137055838,2.0304568527918794
1,Race_x_SES,gpt4o,disambig,-0.00917431192660545,0.981651376146789,-0.917431192660545
0,Physical_appearance,gpt4o,ambig,-0.5,0.29411764705882354,-35.29411764705882
1,Physical_appearance,gpt4o,disambig,0.5,0.9230769230769231,50.0
0,SES,gpt4o,ambig,0.23076923076923084,0.4583333333333333,12.500000000000005
1,SES,gpt4o,disambig,0.04347826086956519,1.0,4.347826086956519
0,Race_x_gender,gpt4o,ambig,0.380281690140845,0.6414141414141414,13.636363636363633
1,Race_x_gender,gpt4o,disambig,0.22222222222222232,0.9553571428571429,22.222222222222232
0,Disability_status,gpt4o,ambig,0.33333333333333326,0.14285714285714285,28.57142857142857
1,Disability_status,gpt4o,disambig,0.0,0.8823529411764706,0.0
0,Nationality,gpt4o,ambig,0.0,0.7333333333333333,0.0
1,Nationality,gpt4o,disambig,0.25,1.0,25.0
0,Sexual_orientation,gpt4o,ambig,-1.0,0.6,-40.0
1,Sexual_orientation,gpt4o,disambig,0.19999999999999996,0.7142857142857143,19.999999999999996
0,Gender_identity,gpt4o,ambig,-0.33333333333333337,0.5,-16.666666666666668
1,Gender_identity,gpt4o,disambig,0.04347826086956519,0.92,4.347826086956519
