,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,llama7b,ambig,-0.8333333333333334,0.3333333333333333,-55.55555555555557
1,Age,llama7b,disambig,0.11111111111111116,0.3333333333333333,11.111111111111116
2,Disability_status,llama7b,ambig,-0.23809523809523814,0.2857142857142857,-17.006802721088437
3,Disability_status,llama7b,disambig,-0.17647058823529416,0.23529411764705882,-17.647058823529417
4,Gender_identity,llama7b,ambig,0.06382978723404253,0.1276595744680851,5.568130375735626
5,Gender_identity,llama7b,disambig,-0.25,0.375,-25.0
6,Nationality,llama7b,ambig,-0.125,0.25,-9.375
7,Nationality,llama7b,disambig,0.25,0.375,25.0
8,Physical_appearance,llama7b,ambig,-0.4117647058823529,0.29411764705882354,-29.065743944636672
9,Physical_appearance,llama7b,disambig,0.07692307692307687,0.46153846153846156,7.692307692307687
10,Race_ethnicity,llama7b,ambig,-0.5853658536585367,0.2073170731707317,-46.4009518143962
11,Race_ethnicity,llama7b,disambig,-0.2962962962962963,0.3148148148148148,-29.629629629629626
12,Race_x_SES,llama7b,ambig,-0.4769230769230769,0.2358974358974359,-36.441814595660745
13,Race_x_SES,llama7b,disambig,-0.3928571428571429,0.35714285714285715,-39.28571428571429
14,Race_x_gender,llama7b,ambig,-0.36040609137055835,0.233502538071066,-27.625035429926044
15,Race_x_gender,llama7b,disambig,-0.14035087719298245,0.42105263157894735,-14.035087719298245
16,Religion,llama7b,ambig,-0.75,0.5,-37.5
17,Religion,llama7b,disambig,-0.7142857142857143,0.2857142857142857,-71.42857142857143
18,SES,llama7b,ambig,-0.10204081632653061,0.32653061224489793,-6.872136609745941
19,SES,llama7b,disambig,-0.04347826086956519,0.30434782608695654,-4.347826086956519
20,Sexual_orientation,llama7b,ambig,-0.4,0.3,-27.999999999999996
21,Sexual_orientation,llama7b,disambig,0.33333333333333326,0.3333333333333333,33.33333333333333
