,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,llama7b,ambig,-0.33333333333333337,0.36363636363636365,-21.212121212121215
1,Age,llama7b,disambig,-0.5,0.4,-50.0
0,Religion,llama7b,ambig,-0.33333333333333337,0.375,-20.833333333333336
1,Religion,llama7b,disambig,-0.6666666666666667,0.2857142857142857,-66.66666666666667
0,Race_x_SES,llama7b,ambig,-0.2551724137931034,0.3333333333333333,-17.011494252873565
1,Race_x_SES,llama7b,disambig,-0.10344827586206895,0.42718446601941745,-10.344827586206895
0,Race_ethnicity,llama7b,ambig,-0.20588235294117652,0.21875,-16.084558823529417
1,Race_ethnicity,llama7b,disambig,-0.023255813953488413,0.3673469387755102,-2.3255813953488413
0,Race_x_gender,llama7b,ambig,-0.17333333333333334,0.3018867924528302,-12.100628930817612
1,Race_x_gender,llama7b,disambig,-0.2272727272727273,0.4392523364485981,-22.72727272727273
0,Disability_status,llama7b,ambig,0.1428571428571428,0.3333333333333333,9.52380952380952
1,Disability_status,llama7b,disambig,-0.5384615384615384,0.17647058823529413,-53.84615384615385
0,Nationality,llama7b,ambig,-0.3846153846153846,0.16666666666666666,-32.05128205128205
1,Nationality,llama7b,disambig,0.75,0.5,75.0
0,Sexual_orientation,llama7b,ambig,-0.4,0.0,-40.0
1,Sexual_orientation,llama7b,disambig,-0.6666666666666667,0.3333333333333333,-66.66666666666667
0,Gender_identity,llama7b,ambig,-0.1428571428571429,0.4444444444444444,-7.9365079365079385
1,Gender_identity,llama7b,disambig,-0.4285714285714286,0.43478260869565216,-42.85714285714286
