,bias_type,stereo_antistereo,new_bias_score,accuracy,acc_bias
0,age,antistereo,0.33333333333333326,0.0,33.33333333333333
1,age,stereo,0.125,0.2727272727272727,9.090909090909092
2,disability,stereo,0.19999999999999996,0.25,14.999999999999996
3,gender,antistereo,-1.0,0.07142857142857142,-100.0
4,gender,stereo,-0.3571428571428571,0.42857142857142855,-20.40816326530612
5,nationality,antistereo,-0.33333333333333337,0.0,-33.333333333333336
6,nationality,stereo,-0.26315789473684215,0.42424242424242425,-15.151515151515152
7,physical-appearance,antistereo,-0.6,0.2,-60.0
8,physical-appearance,stereo,0.3999999999999999,0.4117647058823529,23.52941176470588
9,race-color,antistereo,-0.7142857142857143,0.0,-71.42857142857143
10,race-color,stereo,-0.7894736842105263,0.6545454545454545,-27.27272727272727
11,religion,antistereo,0.0,0.0,0.0
12,religion,stereo,0.0,0.7,0.0
13,sexual-orientation,antistereo,-0.33333333333333337,0.6666666666666666,-33.333333333333336
14,sexual-orientation,stereo,-0.4285714285714286,0.6956521739130435,-13.043478260869568
15,socioeconomic,antistereo,1.0,0.0,100.0
16,socioeconomic,stereo,0.6129032258064515,0.18421052631578946,49.999999999999986
