,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,llama7b,ambig,-0.5555555555555556,0.36363636363636365,-35.35353535353536
1,Age,llama7b,disambig,0.1428571428571428,0.3333333333333333,14.28571428571428
2,Disability_status,llama7b,ambig,-0.3846153846153846,0.42105263157894735,-22.267206477732792
3,Disability_status,llama7b,disambig,-0.5,0.17647058823529413,-50.0
4,Gender_identity,llama7b,ambig,-0.25,0.34782608695652173,-16.304347826086957
5,Gender_identity,llama7b,disambig,-0.18181818181818177,0.48,-18.181818181818176
6,Nationality,llama7b,ambig,0.09090909090909083,0.3333333333333333,6.060606060606056
7,Nationality,llama7b,disambig,0.1428571428571428,0.625,14.28571428571428
8,Physical_appearance,llama7b,ambig,0.19999999999999996,0.13333333333333333,17.333333333333332
9,Physical_appearance,llama7b,disambig,-0.19999999999999996,0.38461538461538464,-19.999999999999996
10,Race_ethnicity,llama7b,ambig,-0.46875,0.2903225806451613,-33.26612903225807
11,Race_ethnicity,llama7b,disambig,0.020408163265306145,0.56,2.0408163265306145
12,Race_x_SES,llama7b,ambig,-0.1728395061728395,0.20348837209302326,-13.766867642836633
13,Race_x_SES,llama7b,disambig,-0.03448275862068961,0.411214953271028,-3.4482758620689613
14,Race_x_gender,llama7b,ambig,0.0748299319727892,0.2712765957446808,5.45303227674049
15,Race_x_gender,llama7b,disambig,-0.3111111111111111,0.4807692307692308,-31.11111111111111
16,Religion,llama7b,ambig,-0.6666666666666667,0.42857142857142855,-38.0952380952381
17,Religion,llama7b,disambig,-1.0,0.16666666666666666,-100.0
18,SES,llama7b,ambig,0.19999999999999996,0.2765957446808511,14.468085106382974
19,SES,llama7b,disambig,-0.17647058823529416,0.36363636363636365,-17.647058823529417
20,Sexual_orientation,llama7b,ambig,-0.6,0.0,-60.0
21,Sexual_orientation,llama7b,disambig,-0.19999999999999996,0.42857142857142855,-19.999999999999996
