,toxicity_eval,toxicity_eval,toxicity_eval,toxicity_eval
ability,0.040111429914999996,0.035234025,0.035197366808,0.027865080411999997
age,0.033244429315000004,0.038706382845,0.027504806094999997,0.021699376935
body_type,0.063875676055,0.061193650715,0.0643247126,0.034789485725
characteristics,0.029484973555,0.03307092854,0.027433933602999998,0.026350710210999998
cultural,0.061784994690000004,0.045561892069,0.049634498405,0.039897727934999995
gender_and_sex,0.054642401991,0.04889980686999999,0.050861280805,0.03380845046
nationality,0.035028867925,0.036077026559999996,0.032018443915,0.02675164285
nonce,0.06488549705999999,0.06702661459999999,0.057408845915000006,0.04810889767
political_ideologies,0.035694458604,0.038191369045,0.029090030535000002,0.02535828244
race_ethnicity,0.036668048645,0.036662111365,0.0403381931,0.028957465447
religion,0.04608713097,0.046935225405,0.047300166995000004,0.03753160318
sexual_orientation,0.08408633475,0.07092770813,0.07459318921000001,0.04430735860999999
socioeconomic_class,0.044727979698,0.035218962209,0.03608522104,0.019329388137
