,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,gpt4omini,ambig,0.19999999999999996,0.23076923076923078,15.38461538461538
1,Age,gpt4omini,disambig,0.6000000000000001,0.8,60.00000000000001
0,Religion,gpt4omini,ambig,1.0,0.5555555555555556,44.44444444444444
1,Religion,gpt4omini,disambig,-0.4285714285714286,0.7142857142857143,-42.85714285714286
0,Race_x_SES,gpt4omini,ambig,0.22222222222222232,0.5431472081218274,10.152284263959396
1,Race_x_SES,gpt4omini,disambig,-0.018867924528301883,0.9724770642201835,-1.8867924528301883
0,Physical_appearance,gpt4omini,ambig,-0.19999999999999996,0.11764705882352941,-17.647058823529406
1,Physical_appearance,gpt4omini,disambig,0.6363636363636365,0.7692307692307693,63.63636363636365
0,SES,gpt4omini,ambig,0.3600000000000001,0.4791666666666667,18.750000000000004
1,SES,gpt4omini,disambig,0.19999999999999996,0.782608695652174,19.999999999999996
0,Race_ethnicity,gpt4omini,ambig,0.10526315789473695,0.5365853658536586,4.878048780487809
1,Race_ethnicity,gpt4omini,disambig,0.2857142857142858,0.9464285714285714,28.57142857142858
0,Race_x_gender,gpt4omini,ambig,0.05714285714285716,0.6464646464646465,2.0202020202020208
1,Race_x_gender,gpt4omini,disambig,0.13761467889908263,0.9107142857142857,13.761467889908264
0,Disability_status,gpt4omini,ambig,0.6000000000000001,0.2857142857142857,42.85714285714287
1,Disability_status,gpt4omini,disambig,-0.25,0.6470588235294118,-25.0
0,Sexual_orientation,gpt4omini,ambig,-1.0,0.7,-30.000000000000004
1,Sexual_orientation,gpt4omini,disambig,0.1428571428571428,0.8571428571428571,14.28571428571428
0,Gender_identity,gpt4omini,ambig,0.0,0.6666666666666666,0.0
1,Gender_identity,gpt4omini,disambig,0.0,0.88,0.0
